#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2ABB
#Date Time: 2024-08-13 19:46:20.655
#Sample rate: 500Hz
#Samples: 4096

Time (s),Data,DV,MISO,MOSI,SCK
-2.494,1513,1,1,0,1
-2.492,1574,1,1,0,1
-2.49,1603,1,1,0,1
-2.488,1602,1,1,0,1
-2.486,1587,1,1,0,1
-2.484,1567,1,1,0,1
-2.482,1562,1,1,0,1
-2.48,1575,1,1,0,1
-2.478,1601,1,1,0,1
-2.476,1619,1,1,0,1
-2.474,1618,1,1,0,1
-2.472,1586,1,1,0,1
-2.47,1539,1,1,0,1
-2.468,1505,1,1,0,1
-2.466,1497,1,1,0,1
-2.464,1509,1,1,0,1
-2.462,1530,1,1,0,1
-2.46,1552,1,1,0,1
-2.458,1567,1,1,0,1
-2.456,1575,1,1,0,1
-2.454,1558,1,1,0,1
-2.452,1517,1,1,0,1
-2.45,1474,1,1,0,1
-2.448,1439,1,1,0,1
-2.446,1413,1,1,0,1
-2.444,1386,1,1,0,1
-2.442,1357,1,1,0,1
-2.44,1319,1,1,0,1
-2.438,1269,1,1,0,1
-2.436,1230,1,1,0,1
-2.434,1236,1,1,0,1
-2.432,1291,1,1,0,1
-2.43,1381,1,1,0,1
-2.428,1483,1,1,0,1
-2.426,1573,1,1,0,1
-2.424,1634,1,1,0,1
-2.422,1662,1,1,0,1
-2.42,1673,1,1,0,1
-2.418,1678,1,1,0,1
-2.416,1703,1,1,0,1
-2.414,1753,1,1,0,1
-2.412,1821,1,1,0,1
-2.41,1889,1,1,0,1
-2.408,1934,1,1,0,1
-2.406,1944,1,1,0,1
-2.404,1925,1,1,0,1
-2.402,1903,1,1,0,1
-2.4,1903,1,1,0,1
-2.398,1925,1,1,0,1
-2.396,1955,1,1,0,1
-2.394,1981,1,1,0,1
-2.392,1993,1,1,0,1
-2.39,1983,1,1,0,1
-2.388,1954,1,1,0,1
-2.386,1911,1,1,0,1
-2.384,1877,1,1,0,1
-2.382,1865,1,1,0,1
-2.38,1873,1,1,0,1
-2.378,1891,1,1,0,1
-2.376,1905,1,1,0,1
-2.374,1901,1,1,0,1
-2.372,1884,1,1,0,1
-2.37,1863,1,1,0,1
-2.368,1854,1,1,0,1
-2.366,1866,1,1,0,1
-2.364,1877,1,1,0,1
-2.362,1883,1,1,0,1
-2.36,1903,1,1,0,1
-2.358,1940,1,1,0,1
-2.356,1967,1,1,0,1
-2.354,1993,1,1,0,1
-2.352,2030,1,1,0,1
-2.35,2097,1,1,0,1
-2.348,2181,1,1,0,1
-2.346,2274,1,1,0,1
-2.344,2373,1,1,0,1
-2.342,2463,1,1,0,1
-2.34,2539,1,1,0,1
-2.338,2587,1,1,0,1
-2.336,2602,1,1,0,1
-2.334,2595,1,1,0,1
-2.332,2582,1,1,0,1
-2.33,2573,1,1,0,1
-2.328,2565,1,1,0,1
-2.326,2539,1,1,0,1
-2.324,2484,1,1,0,1
-2.322,2390,1,1,0,1
-2.32,2275,1,1,0,1
-2.318,2158,1,1,0,1
-2.316,2069,1,1,0,1
-2.314,2010,1,1,0,1
-2.312,1971,1,1,0,1
-2.31,1938,1,1,0,1
-2.308,1891,1,1,0,1
-2.306,1829,1,1,0,1
-2.304,1770,1,1,0,1
-2.302,1725,1,1,0,1
-2.3,1713,1,1,0,1
-2.298,1735,1,1,0,1
-2.296,1777,1,1,0,1
-2.294,1821,1,1,0,1
-2.292,1851,1,1,0,1
-2.29,1849,1,1,0,1
-2.288,1814,1,1,0,1
-2.286,1758,1,1,0,1
-2.284,1713,1,1,0,1
-2.282,1698,1,1,0,1
-2.28,1722,1,1,0,1
-2.278,1778,1,1,0,1
-2.276,1847,1,1,0,1
-2.274,1911,1,1,0,1
-2.272,1959,1,1,0,1
-2.27,1986,1,1,0,1
-2.268,1999,1,1,0,1
-2.266,2014,1,1,0,1
-2.264,2029,1,1,0,1
-2.262,2047,1,1,0,1
-2.26,2062,1,1,0,1
-2.258,2054,1,1,0,1
-2.256,2025,1,1,0,1
-2.254,1982,1,1,0,1
