#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2ABB
#Date Time: 2024-08-13 19:45:19.267
#Sample rate: 500Hz
#Samples: 4096

Time (s),Data,DV,MISO,MOSI,SCK
-2.494,3501,1,1,0,1
-2.492,3053,1,1,0,1
-2.49,2485,1,1,0,1
-2.488,1810,1,1,0,1
-2.486,1094,1,1,0,1
-2.484,410,1,1,0,1
-2.482,29,1,1,0,1
-2.48,2,1,1,0,1
-2.478,0,1,1,0,1
-2.476,0,1,1,0,1
-2.474,0,1,1,0,1
-2.472,0,1,1,0,1
-2.47,0,1,1,0,1
-2.468,0,1,1,0,1
-2.466,0,1,1,0,1
-2.464,0,1,1,0,1
-2.462,0,1,1,0,1
-2.46,0,1,1,0,1
-2.458,0,1,1,0,1
-2.456,33,1,1,0,1
-2.454,140,1,1,0,1
-2.452,298,1,1,0,1
-2.45,502,1,1,0,1
-2.448,755,1,1,0,1
-2.446,1045,1,1,0,1
-2.444,1350,1,1,0,1
-2.442,1641,1,1,0,1
-2.44,1891,1,1,0,1
-2.438,2088,1,1,0,1
-2.436,2233,1,1,0,1
-2.434,2345,1,1,0,1
-2.432,2437,1,1,0,1
-2.43,2514,1,1,0,1
-2.428,2578,1,1,0,1
-2.426,2622,1,1,0,1
-2.424,2645,1,1,0,1
-2.422,2641,1,1,0,1
-2.42,2617,1,1,0,1
-2.418,2586,1,1,0,1
-2.416,2559,1,1,0,1
-2.414,2549,1,1,0,1
-2.412,2549,1,1,0,1
-2.41,2553,1,1,0,1
-2.408,2547,1,1,0,1
-2.406,2526,1,1,0,1
-2.404,2491,1,1,0,1
-2.402,2449,1,1,0,1
-2.4,2410,1,1,0,1
-2.398,2390,1,1,0,1
-2.396,2394,1,1,0,1
-2.394,2413,1,1,0,1
-2.392,2430,1,1,0,1
-2.39,2435,1,1,0,1
-2.388,2417,1,1,0,1
-2.386,2393,1,1,0,1
-2.384,2373,1,1,0,1
-2.382,2363,1,1,0,1
-2.38,2369,1,1,0,1
-2.378,2379,1,1,0,1
-2.376,2386,1,1,0,1
-2.374,2385,1,1,0,1
-2.372,2370,1,1,0,1
-2.37,2347,1,1,0,1
-2.368,2329,1,1,0,1
-2.366,2322,1,1,0,1
-2.364,2335,1,1,0,1
-2.362,2365,1,1,0,1
-2.36,2401,1,1,0,1
-2.358,2426,1,1,0,1
-2.356,2437,1,1,0,1
-2.354,2422,1,1,0,1
-2.352,2394,1,1,0,1
-2.35,2365,1,1,0,1
-2.348,2350,1,1,0,1
-2.346,2350,1,1,0,1
