#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2ABB
#Date Time: 2024-08-13 19:49:56.721
#Sample rate: 500Hz
#Samples: 4096

Time (s),Data,DV,MISO,MOSI,SCK
-2.494,4039,1,1,0,1
-2.492,4059,1,1,0,1
-2.49,4061,1,1,0,1
-2.488,4061,1,1,0,1
-2.486,3995,1,1,0,1
-2.484,3833,1,1,0,1
-2.482,3599,1,1,0,1
-2.48,3282,1,1,0,1
-2.478,2857,1,1,0,1
-2.476,2293,1,1,0,1
-2.474,1610,1,1,0,1
-2.472,860,1,1,0,1
-2.47,145,1,1,0,1
-2.468,8,1,1,0,1
-2.466,0,1,1,0,1
-2.464,0,1,1,0,1
-2.462,0,1,1,0,1
-2.46,0,1,1,0,1
-2.458,0,1,1,0,1
-2.456,0,1,1,0,1
-2.454,0,1,1,0,1
-2.452,0,1,1,0,1
-2.45,0,1,1,0,1
-2.448,0,1,1,0,1
-2.446,0,1,1,0,1
-2.444,0,1,1,0,1
-2.442,0,1,1,0,1
-2.44,0,1,1,0,1
-2.438,0,1,1,0,1
-2.436,0,1,1,0,1
-2.434,12,1,1,0,1
-2.432,140,1,1,0,1
-2.43,351,1,1,0,1
-2.428,599,1,1,0,1
-2.426,851,1,1,0,1
-2.424,1091,1,1,0,1
-2.422,1313,1,1,0,1
-2.42,1529,1,1,0,1
-2.418,1754,1,1,0,1
-2.416,1991,1,1,0,1
-2.414,2234,1,1,0,1
-2.412,2466,1,1,0,1
-2.41,2666,1,1,0,1
-2.408,2825,1,1,0,1
-2.406,2938,1,1,0,1
-2.404,3027,1,1,0,1
-2.402,3111,1,1,0,1
-2.4,3197,1,1,0,1
-2.398,3291,1,1,0,1
-2.396,3382,1,1,0,1
-2.394,3450,1,1,0,1
-2.392,3487,1,1,0,1
-2.39,3493,1,1,0,1
-2.388,3477,1,1,0,1
-2.386,3462,1,1,0,1
-2.384,3463,1,1,0,1
-2.382,3482,1,1,0,1
-2.38,3509,1,1,0,1
-2.378,3527,1,1,0,1
-2.376,3525,1,1,0,1
-2.374,3494,1,1,0,1
-2.372,3443,1,1,0,1
-2.37,3389,1,1,0,1
-2.368,3353,1,1,0,1
-2.366,3341,1,1,0,1
-2.364,3346,1,1,0,1
-2.362,3355,1,1,0,1
-2.36,3353,1,1,0,1
-2.358,3326,1,1,0,1
-2.356,3283,1,1,0,1
-2.354,3229,1,1,0,1
-2.352,3187,1,1,0,1
-2.35,3167,1,1,0,1
-2.348,3173,1,1,0,1
-2.346,3187,1,1,0,1
-2.344,3198,1,1,0,1
-2.342,3194,1,1,0,1
-2.34,3171,1,1,0,1
-2.338,3135,1,1,0,1
-2.336,3109,1,1,0,1
-2.334,3101,1,1,0,1
-2.332,3119,1,1,0,1
-2.33,3153,1,1,0,1
-2.328,3185,1,1,0,1
-2.326,3204,1,1,0,1
-2.324,3198,1,1,0,1
-2.322,3179,1,1,0,1
-2.32,3159,1,1,0,1
-2.318,3157,1,1,0,1
-2.316,3181,1,1,0,1
-2.314,3227,1,1,0,1
-2.312,3279,1,1,0,1
-2.31,3321,1,1,0,1
-2.308,3343,1,1,0,1
-2.306,3345,1,1,0,1
-2.304,3341,1,1,0,1
-2.302,3354,1,1,0,1
-2.3,3391,1,1,0,1
-2.298,3459,1,1,0,1
-2.296,3533,1,1,0,1
-2.294,3603,1,1,0,1
-2.292,3645,1,1,0,1
-2.29,3662,1,1,0,1
-2.288,3662,1,1,0,1
-2.286,3667,1,1,0,1
-2.284,3693,1,1,0,1
-2.282,3743,1,1,0,1
-2.28,3811,1,1,0,1
-2.278,3877,1,1,0,1
-2.276,3921,1,1,0,1
-2.274,3933,1,1,0,1
-2.272,3925,1,1,0,1
-2.27,3911,1,1,0,1
-2.268,3911,1,1,0,1
-2.266,3930,1,1,0,1
-2.264,3958,1,1,0,1
-2.262,3983,1,1,0,1
-2.26,3991,1,1,0,1
-2.258,3974,1,1,0,1
-2.256,3929,1,1,0,1
-2.254,3870,1,1,0,1
-2.252,3815,1,1,0,1
-2.25,3780,1,1,0,1
-2.248,3755,1,1,0,1
-2.246,3731,1,1,0,1
-2.244,3687,1,1,0,1
