#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2ABB
#Date Time: 2024-08-27 21:14:12.434
#Sample rate: 500Hz
#Samples: 4096

Time (s),Data,DV,MISO,MOSI,SCK
-2.494,0,1,1,0,1
-2.492,0,1,1,0,1
-2.49,1790,1,1,0,1
-2.488,2047,1,1,0,1
-2.486,5,1,1,0,1
-2.484,0,1,1,0,1
-2.482,2047,1,1,0,1
-2.48,2047,1,1,0,1
-2.478,0,1,1,0,1
-2.476,0,1,1,0,1
-2.474,726,1,1,0,1
-2.472,2047,1,1,0,1
-2.47,1868,1,1,0,1
-2.468,0,1,1,0,1
-2.466,1324,1,1,0,1
-2.464,2047,1,1,0,1
-2.462,1687,1,1,0,1
-2.46,0,1,1,0,1
-2.458,0,1,1,0,1
-2.456,2047,1,1,0,1
-2.454,2047,1,1,0,1
-2.452,0,1,1,0,1
-2.45,135,1,1,0,1
-2.448,2047,1,1,0,1
-2.446,2047,1,1,0,1
-2.444,0,1,1,0,1
-2.442,0,1,1,0,1
-2.44,1821,1,1,0,1
-2.438,2047,1,1,0,1
-2.436,22,1,1,0,1
-2.434,0,1,1,0,1
-2.432,2047,1,1,0,1
-2.43,2047,1,1,0,1
-2.428,0,1,1,0,1
-2.426,0,1,1,0,1
-2.424,724,1,1,0,1
-2.422,2047,1,1,0,1
-2.42,1907,1,1,0,1
-2.418,0,1,1,0,1
-2.416,1303,1,1,0,1
-2.414,2047,1,1,0,1
-2.412,1748,1,1,0,1
-2.41,0,1,1,0,1
-2.408,0,1,1,0,1
-2.406,2047,1,1,0,1
-2.404,2047,1,1,0,1
-2.402,0,1,1,0,1
-2.4,84,1,1,0,1
-2.398,2047,1,1,0,1
-2.396,2047,1,1,0,1
-2.394,0,1,1,0,1
-2.392,0,1,1,0,1
-2.39,1795,1,1,0,1
-2.388,2047,1,1,0,1
-2.386,32,1,1,0,1
-2.384,0,1,1,0,1
-2.382,2047,1,1,0,1
-2.38,2047,1,1,0,1
-2.378,0,1,1,0,1
-2.376,0,1,1,0,1
-2.374,683,1,1,0,1
-2.372,2047,1,1,0,1
-2.37,1889,1,1,0,1
-2.368,0,1,1,0,1
-2.366,1213,1,1,0,1
-2.364,2047,1,1,0,1
-2.362,1731,1,1,0,1
-2.36,0,1,1,0,1
-2.358,0,1,1,0,1
-2.356,2047,1,1,0,1
-2.354,2047,1,1,0,1
-2.352,0,1,1,0,1
-2.35,0,1,1,0,1
-2.348,2047,1,1,0,1
-2.346,2047,1,1,0,1
-2.344,0,1,1,0,1
-2.342,0,1,1,0,1
-2.34,1746,1,1,0,1
-2.338,2047,1,1,0,1
-2.336,38,1,1,0,1
-2.334,0,1,1,0,1
-2.332,2047,1,1,0,1
-2.33,2047,1,1,0,1
-2.328,0,1,1,0,1
-2.326,0,1,1,0,1
-2.324,680,1,1,0,1
-2.322,2047,1,1,0,1
-2.32,1897,1,1,0,1
-2.318,0,1,1,0,1
-2.316,1161,1,1,0,1
-2.314,2047,1,1,0,1
-2.312,1769,1,1,0,1
-2.31,0,1,1,0,1
-2.308,0,1,1,0,1
-2.306,2047,1,1,0,1
-2.304,2047,1,1,0,1
-2.302,0,1,1,0,1
-2.3,0,1,1,0,1
-2.298,2047,1,1,0,1
-2.296,2047,1,1,0,1
-2.294,0,1,1,0,1
-2.292,0,1,1,0,1
-2.29,1868,1,1,0,1
-2.288,2047,1,1,0,1
-2.286,312,1,1,0,1
-2.284,0,1,1,0,1
-2.282,2047,1,1,0,1
-2.28,2047,1,1,0,1
-2.278,298,1,1,0,1
-2.276,0,1,1,0,1
-2.274,1052,1,1,0,1
-2.272,2047,1,1,0,1
-2.27,2047,1,1,0,1
-2.268,0,1,1,0,1
-2.266,1388,1,1,0,1
-2.264,2047,1,1,0,1
-2.262,1897,1,1,0,1
-2.26,0,1,1,0,1
-2.258,0,1,1,0,1
-2.256,2047,1,1,0,1
-2.254,2047,1,1,0,1
-2.252,0,1,1,0,1
-2.25,0,1,1,0,1
-2.248,2047,1,1,0,1
-2.246,2047,1,1,0,1
-2.244,0,1,1,0,1
-2.242,0,1,1,0,1
-2.24,1383,1,1,0,1
-2.238,2047,1,1,0,1
-2.236,16,1,1,0,1
-2.234,0,1,1,0,1
-2.232,2047,1,1,0,1
-2.23,2047,1,1,0,1
-2.228,0,1,1,0,1
-2.226,0,1,1,0,1
-2.224,457,1,1,0,1
-2.222,2047,1,1,0,1
-2.22,2047,1,1,0,1
-2.218,0,1,1,0,1
-2.216,1117,1,1,0,1
-2.214,2047,1,1,0,1
-2.212,1833,1,1,0,1
-2.21,0,1,1,0,1
-2.208,0,1,1,0,1
-2.206,2047,1,1,0,1
-2.204,2047,1,1,0,1
-2.202,0,1,1,0,1
-2.2,19,1,1,0,1
-2.198,2047,1,1,0,1
-2.196,2047,1,1,0,1
-2.194,0,1,1,0,1
-2.192,0,1,1,0,1
-2.19,1733,1,1,0,1
-2.188,2047,1,1,0,1
-2.186,434,1,1,0,1
-2.184,0,1,1,0,1
-2.182,2047,1,1,0,1
-2.18,2047,1,1,0,1
-2.178,96,1,1,0,1
-2.176,0,1,1,0,1
-2.174,642,1,1,0,1
-2.172,2047,1,1,0,1
-2.17,2047,1,1,0,1
-2.168,0,1,1,0,1
-2.166,1249,1,1,0,1
-2.164,2047,1,1,0,1
-2.162,1979,1,1,0,1
-2.16,0,1,1,0,1
-2.158,0,1,1,0,1
-2.156,2047,1,1,0,1
-2.154,2047,1,1,0,1
-2.152,0,1,1,0,1
-2.15,2,1,1,0,1
-2.148,2047,1,1,0,1
-2.146,2047,1,1,0,1
-2.144,0,1,1,0,1
-2.142,0,1,1,0,1
-2.14,1695,1,1,0,1
-2.138,2047,1,1,0,1
-2.136,443,1,1,0,1
-2.134,0,1,1,0,1
-2.132,2047,1,1,0,1
-2.13,2047,1,1,0,1
-2.128,129,1,1,0,1
-2.126,0,1,1,0,1
-2.124,613,1,1,0,1
-2.122,2047,1,1,0,1
-2.12,2047,1,1,0,1
-2.118,0,1,1,0,1
-2.116,1188,1,1,0,1
-2.114,2047,1,1,0,1
-2.112,2045,1,1,0,1
-2.11,0,1,1,0,1
-2.108,0,1,1,0,1
-2.106,2047,1,1,0,1
-2.104,2047,1,1,0,1
-2.102,0,1,1,0,1
-2.1,0,1,1,0,1
-2.098,2047,1,1,0,1
-2.096,2047,1,1,0,1
-2.094,0,1,1,0,1
-2.092,0,1,1,0,1
-2.09,1690,1,1,0,1
-2.088,2047,1,1,0,1
-2.086,471,1,1,0,1
-2.084,0,1,1,0,1
-2.082,2047,1,1,0,1
-2.08,2047,1,1,0,1
-2.078,171,1,1,0,1
-2.076,0,1,1,0,1
-2.074,569,1,1,0,1
-2.072,2047,1,1,0,1
-2.07,2047,1,1,0,1
-2.068,0,1,1,0,1
-2.066,1178,1,1,0,1
-2.064,2047,1,1,0,1
-2.062,2047,1,1,0,1
-2.06,0,1,1,0,1
-2.058,0,1,1,0,1
-2.056,2047,1,1,0,1
-2.054,2047,1,1,0,1
-2.052,0,1,1,0,1
-2.05,0,1,1,0,1
-2.048,2047,1,1,0,1
-2.046,2047,1,1,0,1
-2.044,0,1,1,0,1
-2.042,0,1,1,0,1
-2.04,1655,1,1,0,1
-2.038,2047,1,1,0,1
-2.036,472,1,1,0,1
-2.034,0,1,1,0,1
-2.032,2047,1,1,0,1
-2.03,2047,1,1,0,1
-2.028,263,1,1,0,1
-2.026,0,1,1,0,1
-2.024,592,1,1,0,1
-2.022,2047,1,1,0,1
-2.02,2047,1,1,0,1
-2.018,0,1,1,0,1
-2.016,1134,1,1,0,1
-2.014,2047,1,1,0,1
-2.012,2047,1,1,0,1
-2.01,0,1,1,0,1
-2.008,0,1,1,0,1
-2.006,2047,1,1,0,1
-2.004,2047,1,1,0,1
-2.002,0,1,1,0,1
-2,0,1,1,0,1
-1.998,2047,1,1,0,1
-1.996,2047,1,1,0,1
-1.994,0,1,1,0,1
-1.992,0,1,1,0,1
-1.99,1596,1,1,0,1
-1.988,2047,1,1,0,1
-1.986,431,1,1,0,1
-1.984,0,1,1,0,1
-1.982,2047,1,1,0,1
-1.98,2047,1,1,0,1
-1.978,236,1,1,0,1
-1.976,0,1,1,0,1
-1.974,494,1,1,0,1
-1.972,2047,1,1,0,1
-1.97,2047,1,1,0,1
-1.968,0,1,1,0,1
-1.966,991,1,1,0,1
-1.964,2047,1,1,0,1
-1.962,2047,1,1,0,1
-1.96,0,1,1,0,1
-1.958,0,1,1,0,1
-1.956,2047,1,1,0,1
-1.954,2047,1,1,0,1
-1.952,0,1,1,0,1
-1.95,0,1,1,0,1
-1.948,2047,1,1,0,1
-1.946,2047,1,1,0,1
-1.944,0,1,1,0,1
-1.942,0,1,1,0,1
-1.94,1483,1,1,0,1
-1.938,2047,1,1,0,1
-1.936,342,1,1,0,1
-1.934,0,1,1,0,1
-1.932,2047,1,1,0,1
-1.93,2047,1,1,0,1
-1.928,208,1,1,0,1
-1.926,0,1,1,0,1
-1.924,415,1,1,0,1
-1.922,2047,1,1,0,1
-1.92,2047,1,1,0,1
-1.918,0,1,1,0,1
-1.916,887,1,1,0,1
-1.914,2047,1,1,0,1
-1.912,2047,1,1,0,1
-1.91,0,1,1,0,1
-1.908,0,1,1,0,1
-1.906,2047,1,1,0,1
-1.904,2047,1,1,0,1
-1.902,0,1,1,0,1
-1.9,0,1,1,0,1
-1.898,2047,1,1,0,1
-1.896,2047,1,1,0,1
-1.894,0,1,1,0,1
-1.892,0,1,1,0,1
-1.89,1485,1,1,0,1
-1.888,2047,1,1,0,1
-1.886,435,1,1,0,1
-1.884,0,1,1,0,1
-1.882,2047,1,1,0,1
-1.88,2047,1,1,0,1
-1.878,266,1,1,0,1
-1.876,0,1,1,0,1
-1.874,406,1,1,0,1
-1.872,2047,1,1,0,1
-1.87,2047,1,1,0,1
-1.868,0,1,1,0,1
-1.866,921,1,1,0,1
-1.864,2047,1,1,0,1
-1.862,2047,1,1,0,1
-1.86,0,1,1,0,1
-1.858,0,1,1,0,1
-1.856,2047,1,1,0,1
-1.854,2047,1,1,0,1
-1.852,0,1,1,0,1
-1.85,0,1,1,0,1
-1.848,2047,1,1,0,1
-1.846,2047,1,1,0,1
-1.844,0,1,1,0,1
-1.842,0,1,1,0,1
-1.84,1442,1,1,0,1
-1.838,2047,1,1,0,1
-1.836,548,1,1,0,1
-1.834,0,1,1,0,1
-1.832,2047,1,1,0,1
-1.83,2047,1,1,0,1
-1.828,295,1,1,0,1
-1.826,0,1,1,0,1
-1.824,380,1,1,0,1
-1.822,2047,1,1,0,1
-1.82,2047,1,1,0,1
-1.818,0,1,1,0,1
-1.816,948,1,1,0,1
-1.814,2047,1,1,0,1
-1.812,2047,1,1,0,1
-1.81,0,1,1,0,1
-1.808,0,1,1,0,1
-1.806,2047,1,1,0,1
-1.804,2047,1,1,0,1
-1.802,0,1,1,0,1
-1.8,0,1,1,0,1
-1.798,2047,1,1,0,1
-1.796,2047,1,1,0,1
-1.794,0,1,1,0,1
-1.792,0,1,1,0,1
-1.79,1423,1,1,0,1
-1.788,2047,1,1,0,1
-1.786,660,1,1,0,1
-1.784,0,1,1,0,1
-1.782,2047,1,1,0,1
-1.78,2047,1,1,0,1
-1.778,342,1,1,0,1
-1.776,0,1,1,0,1
-1.774,359,1,1,0,1
-1.772,2047,1,1,0,1
-1.77,2047,1,1,0,1
-1.768,0,1,1,0,1
-1.766,942,1,1,0,1
-1.764,2047,1,1,0,1
-1.762,2047,1,1,0,1
-1.76,0,1,1,0,1
-1.758,0,1,1,0,1
-1.756,2047,1,1,0,1
-1.754,2047,1,1,0,1
-1.752,0,1,1,0,1
