Sample,Data
0,1959
1,1899
2,1828
3,1782
4,1786
5,1841
6,1917
7,1977
8,1987
9,1943
10,1873
11,1814
12,1798
13,1832
14,1901
15,1967
16,1998
17,1973
18,1906
19,1837
20,1802
21,1819
22,1879
23,1954
24,1998
25,1991
26,1935
27,1867
28,1825
29,1829
30,1882
31,1955
32,2011
33,2020
34,1975
35,1902
36,1843
37,1829
38,1865
39,1929
40,1993
41,2023
42,2004
43,1943
44,1882
45,1850
46,1869
47,1931
48,2002
49,2043
50,2035
51,1979
52,1907
53,1859
54,1859
55,1909
56,1980
57,2036
58,2050
59,2007
60,1935
61,1878
62,1863
63,1902
64,1973
65,2038
66,2062
67,2032
68,1963
69,1895
70,1862
71,1880
72,1942
73,2013
74,2053
75,2041
76,1981
77,1911
78,1869
79,1874
80,1929
81,2003
82,2062
83,2073
84,2027
85,1951
86,1887
87,1869
88,1903
89,1970
90,2035
91,2064
92,2037
93,1969
94,1900
95,1867
96,1887
97,1953
98,2023
99,2067
100,2058
101,1998
102,1925
103,1879
104,1884
105,1937
106,2007
107,2063
108,2071
109,2025
110,1951
111,1892
112,1879
113,1922
114,1998
115,2067
116,2092
117,2060
118,1988
119,1917
120,1884
121,1905
122,1969
123,2042
124,2087
125,2077
126,2019
127,1949
128,1906
129,1913
130,1966
131,2035
132,2089
133,2096
134,2052
135,1977
136,1919
137,1905
138,1945
139,2017
140,2084
141,2113
142,2087
143,2023
144,1954
145,1919
146,1938
147,2000
148,2071
149,2115
150,2105
151,2046
152,1973
153,1927
154,1931
155,1985
156,2058
157,2109
158,2115
159,2069
160,2001
161,1945
162,1935
163,1974
164,2044
165,2106
166,2130
167,2097
168,2028
169,1958
170,1927
171,1949
172,2015
173,2087
174,2131
175,2122
176,2062
177,1989
178,1941
179,1942
180,1994
181,2066
182,2118
183,2123
184,2074
185,1999
186,1943
187,1932
188,1974
189,2047
190,2111
191,2137
192,2103
193,2033
194,1965
195,1935
196,1959
197,2024
198,2095
199,2133
200,2118
201,2055
202,1983
203,1941
204,1948
205,2002
206,2076
207,2126
208,2129
209,2081
210,2010
211,1955
212,1944
213,1979
214,2047
215,2111
216,2139
217,2109
218,2038
219,1971
220,1944
221,1969
222,2037
223,2111
224,2150
225,2137
226,2076
227,2003
228,1957
229,1961
230,2009
231,2079
232,2129
233,2135
234,2092
235,2022
236,1967
237,1960
238,2001
239,2071
240,2133
241,2154
242,2121
243,2047
244,1979
245,1951
246,1976
247,2041
248,2111
249,2146
250,2131
251,2073
252,2001
253,1959
254,1969
255,2028
256,2103
257,2155
258,2155
259,2103
260,2030
261,1975
262,1965
263,2004
264,2074
265,2135
266,2159
267,2133
268,2073
269,2013
270,1991
271,2022
272,2090
273,2159
274,2193
275,2169
276,2103
277,2026
278,1982
279,1993
280,2057
281,2137
282,2197
283,2207
284,2159
285,2087
286,2033
287,2022
288,2063
289,2132
290,2197
291,2221
292,2191
293,2120
294,2055
295,2029
296,2055
297,2119
298,2184
299,2212
300,2187
301,2114
302,2033
303,1982
304,1982
305,2035
306,2103
307,2147
308,2138
309,2075
310,1987
311,1921
312,1903
313,1943
314,2012
315,2077
316,2099
317,2070
318,1998
319,1931
320,1905
321,1932
322,2002
323,2074
324,2111
325,2097
326,2035
327,1963
328,1922
329,1932
330,1987
331,2059
332,2109
333,2107
334,2054
335,1976
336,1922
337,1917
338,1967
