#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2ABB
#Date Time: 2024-08-13 19:42:37.619
#Sample rate: 500Hz
#Samples: 4096

Time (s),Data,DV,MISO,MOSI,SCK
-2.494,2115,1,1,0,1
-2.492,2463,1,1,0,1
-2.49,2670,1,1,0,1
-2.488,2566,1,1,0,1
-2.486,2166,1,1,0,1
-2.484,1781,1,1,0,1
-2.482,1597,1,1,0,1
-2.48,1647,1,1,0,1
-2.478,1951,1,1,0,1
-2.476,2317,1,1,0,1
-2.474,2585,1,1,0,1
-2.472,2591,1,1,0,1
-2.47,2265,1,1,0,1
-2.468,1839,1,1,0,1
-2.466,1588,1,1,0,1
-2.464,1556,1,1,0,1
-2.462,1787,1,1,0,1
-2.46,2166,1,1,0,1
-2.458,2501,1,1,0,1
-2.456,2653,1,1,0,1
-2.454,2469,1,1,0,1
-2.452,2074,1,1,0,1
-2.45,1784,1,1,0,1
-2.448,1705,1,1,0,1
-2.446,1870,1,1,0,1
-2.444,2242,1,1,0,1
-2.442,2598,1,1,0,1
-2.44,2804,1,1,0,1
-2.438,2687,1,1,0,1
-2.436,2270,1,1,0,1
-2.434,1860,1,1,0,1
-2.432,1650,1,1,0,1
-2.43,1675,1,1,0,1
-2.428,1953,1,1,0,1
-2.426,2291,1,1,0,1
-2.424,2532,1,1,0,1
-2.422,2514,1,1,0,1
-2.42,2167,1,1,0,1
-2.418,1733,1,1,0,1
-2.416,1475,1,1,0,1
-2.414,1441,1,1,0,1
-2.412,1671,1,1,0,1
-2.41,2041,1,1,0,1
-2.408,2357,1,1,0,1
-2.406,2471,1,1,0,1
-2.404,2244,1,1,0,1
-2.402,1809,1,1,0,1
-2.4,1489,1,1,0,1
-2.398,1386,1,1,0,1
-2.396,1535,1,1,0,1
-2.394,1900,1,1,0,1
-2.392,2262,1,1,0,1
-2.39,2483,1,1,0,1
-2.388,2395,1,1,0,1
-2.386,2014,1,1,0,1
-2.384,1649,1,1,0,1
-2.382,1481,1,1,0,1
-2.38,1539,1,1,0,1
-2.378,1845,1,1,0,1
-2.376,2211,1,1,0,1
-2.374,2477,1,1,0,1
-2.372,2479,1,1,0,1
-2.37,2149,1,1,0,1
-2.368,1719,1,1,0,1
-2.366,1465,1,1,0,1
-2.364,1435,1,1,0,1
-2.362,1670,1,1,0,1
-2.36,2043,1,1,0,1
-2.358,2361,1,1,0,1
-2.356,2481,1,1,0,1
-2.354,2262,1,1,0,1
-2.352,1835,1,1,0,1
-2.35,1521,1,1,0,1
-2.348,1426,1,1,0,1
-2.346,1594,1,1,0,1
-2.344,1986,1,1,0,1
-2.342,2386,1,1,0,1
-2.34,2669,1,1,0,1
-2.338,2667,1,1,0,1
-2.336,2403,1,1,0,1
-2.334,2183,1,1,0,1
-2.332,2191,1,1,0,1
-2.33,2463,1,1,0,1
-2.328,3017,1,1,0,1
-2.326,3642,1,1,0,1
-2.324,4027,1,1,0,1
-2.322,4059,1,1,0,1
-2.32,4030,1,1,0,1
-2.318,3819,1,1,0,1
-2.316,3602,1,1,0,1
-2.314,3429,1,1,0,1
-2.312,3382,1,1,0,1
-2.31,3374,1,1,0,1
-2.308,3242,1,1,0,1
-2.306,2863,1,1,0,1
-2.304,2121,1,1,0,1
-2.302,1147,1,1,0,1
-2.3,284,1,1,0,1
-2.298,15,1,1,0,1
-2.296,0,1,1,0,1
-2.294,0,1,1,0,1
-2.292,0,1,1,0,1
-2.29,5,1,1,0,1
-2.288,0,1,1,0,1
-2.286,0,1,1,0,1
-2.284,0,1,1,0,1
-2.282,0,1,1,0,1
-2.28,37,1,1,0,1
-2.278,360,1,1,0,1
-2.276,806,1,1,0,1
-2.274,1202,1,1,0,1
-2.272,1373,1,1,0,1
-2.27,1229,1,1,0,1
-2.268,994,1,1,0,1
-2.266,926,1,1,0,1
-2.264,1075,1,1,0,1
-2.262,1479,1,1,0,1
-2.26,2013,1,1,0,1
-2.258,2483,1,1,0,1
-2.256,2733,1,1,0,1
-2.254,2617,1,1,0,1
-2.252,2262,1,1,0,1
-2.25,1989,1,1,0,1
-2.248,1903,1,1,0,1
-2.246,2056,1,1,0,1
-2.244,2403,1,1,0,1
-2.242,2741,1,1,0,1
-2.24,2932,1,1,0,1
-2.238,2810,1,1,0,1
-2.236,2398,1,1,0,1
-2.234,1998,1,1,0,1
-2.232,1800,1,1,0,1
-2.23,1839,1,1,0,1
-2.228,2137,1,1,0,1
-2.226,2501,1,1,0,1
-2.224,2773,1,1,0,1
-2.222,2790,1,1,0,1
-2.22,2477,1,1,0,1
-2.218,2070,1,1,0,1
-2.216,1829,1,1,0,1
-2.214,1798,1,1,0,1
-2.212,2022,1,1,0,1
-2.21,2385,1,1,0,1
-2.208,2687,1,1,0,1
-2.206,2795,1,1,0,1
-2.204,2575,1,1,0,1
-2.202,2156,1,1,0,1
-2.2,1854,1,1,0,1
-2.198,1769,1,1,0,1
-2.196,1937,1,1,0,1
-2.194,2311,1,1,0,1
-2.192,2670,1,1,0,1
-2.19,2883,1,1,0,1
-2.188,2778,1,1,0,1
-2.186,2381,1,1,0,1
-2.184,1996,1,1,0,1
-2.182,1815,1,1,0,1
-2.18,1873,1,1,0,1
-2.178,2185,1,1,0,1
-2.176,2546,1,1,0,1
-2.174,2802,1,1,0,1
-2.172,2795,1,1,0,1
-2.17,2459,1,1,0,1
-2.168,2035,1,1,0,1
-2.166,1795,1,1,0,1
-2.164,1779,1,1,0,1
-2.162,2030,1,1,0,1
-2.16,2415,1,1,0,1
-2.158,2735,1,1,0,1
-2.156,2847,1,1,0,1
-2.154,2615,1,1,0,1
-2.152,2181,1,1,0,1
-2.15,1855,1,1,0,1
-2.148,1748,1,1,0,1
-2.146,1894,1,1,0,1
-2.144,2249,1,1,0,1
-2.142,2595,1,1,0,1
-2.14,2803,1,1,0,1
-2.138,2705,1,1,0,1
-2.136,2322,1,1,0,1
-2.134,1958,1,1,0,1
-2.132,1795,1,1,0,1
-2.13,1862,1,1,0,1
-2.128,2174,1,1,0,1
-2.126,2539,1,1,0,1
-2.124,2806,1,1,0,1
-2.122,2815,1,1,0,1
-2.12,2501,1,1,0,1
-2.118,2099,1,1,0,1
-2.116,1873,1,1,0,1
-2.114,1864,1,1,0,1
-2.112,2113,1,1,0,1
-2.11,2490,1,1,0,1
-2.108,2803,1,1,0,1
-2.106,2914,1,1,0,1
-2.104,2685,1,1,0,1
-2.102,2262,1,1,0,1
-2.1,1957,1,1,0,1
-2.098,1867,1,1,0,1
-2.096,2028,1,1,0,1
-2.094,2394,1,1,0,1
-2.092,2747,1,1,0,1
-2.09,2957,1,1,0,1
