#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2ABB
#Date Time: 2024-08-13 19:39:39.188
#Sample rate: 511.999Hz
#Samples: 4096

Time (s),Data,DV,MISO,MOSI,SCK
-2.39844364,2363,1,1,0,1
-2.39649051,2325,1,1,0,1
-2.39453738,2282,1,1,0,1
-2.39258425,2237,1,1,0,1
-2.39063112,2193,1,1,0,1
-2.38867799,2143,1,1,0,1
-2.38672486,2093,1,1,0,1
-2.38477173,2038,1,1,0,1
-2.3828186,1981,1,1,0,1
-2.38086547,1923,1,1,0,1
-2.37891234,1866,1,1,0,1
-2.37695921,1814,1,1,0,1
-2.37500608,1764,1,1,0,1
-2.37305295,1714,1,1,0,1
-2.37109982,1662,1,1,0,1
-2.36914669,1612,1,1,0,1
-2.36719356,1563,1,1,0,1
-2.36524043,1513,1,1,0,1
-2.3632873,1467,1,1,0,1
-2.36133417,1424,0,0,0,0
-2.35938104,1024,0,1,0,0
-2.35742791,0,0,1,1,0
-2.35547478,1354,1,1,0,1
-2.35352165,1326,1,1,0,1
-2.35156852,1302,1,1,0,1
-2.34961539,1279,1,1,0,1
-2.34766226,1259,1,1,0,1
-2.34570913,1243,1,1,0,1
-2.343756,1229,1,1,0,1
-2.34180287,1219,1,1,0,1
-2.33984974,1214,1,1,0,1
-2.33789661,1218,1,1,0,1
-2.33594348,1225,1,1,0,1
-2.33399035,1231,1,1,0,1
-2.33203722,1240,1,1,0,1
-2.33008409,1249,1,1,0,1
-2.32813096,1258,1,1,0,1
-2.32617783,1267,1,1,0,1
-2.3242247,1277,1,1,0,1
-2.32227157,1289,1,1,0,1
-2.32031844,1302,1,1,0,1
-2.31836531,1318,1,1,0,1
-2.31641218,1330,1,1,0,1
-2.31445905,1343,1,1,0,1
-2.31250592,1357,1,1,0,1
-2.31055279,1369,1,1,0,1
-2.30859966,1379,1,1,0,1
-2.30664653,1393,1,1,0,1
-2.3046934,1411,1,1,0,1
-2.30274027,1428,1,1,0,1
-2.30078714,1442,1,1,0,1
-2.29883401,1453,1,1,0,1
-2.29688088,1465,1,1,0,1
-2.29492775,1475,1,1,0,1
-2.29297462,1483,1,1,0,1
-2.29102149,1493,1,1,0,1
-2.28906836,1506,1,1,0,1
-2.28711523,1521,1,1,0,1
-2.2851621,1535,1,1,0,1
-2.28320897,1556,1,1,0,1
-2.28125584,1573,1,1,0,1
-2.27930271,1587,1,1,0,1
-2.27734958,1568,0,1,0,0
-2.27539645,1024,0,1,0,0
-2.27344332,0,0,1,1,0
-2.27149019,1627,1,1,0,1
-2.26953706,1642,1,1,0,1
-2.26758393,1657,1,1,0,1
-2.2656308,1671,1,1,0,1
-2.26367767,1682,1,1,0,1
-2.26172454,1689,1,1,0,1
-2.25977141,1692,1,1,0,1
-2.25781828,1693,1,1,0,1
-2.25586515,1694,1,1,0,1
-2.25391202,1697,1,1,0,1
-2.25195889,1700,1,1,0,1
-2.25000576,1701,1,1,0,1
-2.24805263,1703,1,1,0,1
-2.2460995,1705,1,1,0,1
-2.24414637,1707,1,1,0,1
-2.24219324,1711,1,1,0,1
-2.24024011,1716,1,1,0,1
-2.23828698,1722,1,1,0,1
-2.23633385,1729,1,1,0,1
-2.23438072,1734,1,1,0,1
-2.23242759,1734,1,1,0,1
-2.23047446,1734,1,1,0,1
-2.22852133,1737,1,1,0,1
-2.2265682,1740,1,1,0,1
-2.22461507,1746,1,1,0,1
-2.22266194,1755,1,1,0,1
-2.22070881,1763,1,1,0,1
-2.21875568,1767,1,1,0,1
-2.21680255,1768,1,1,0,1
-2.21484942,1768,1,1,0,1
-2.21289629,1770,1,1,0,1
-2.21094316,1773,1,1,0,1
-2.20899003,1778,1,1,0,1
-2.2070369,1783,1,1,0,1
-2.20508377,1786,1,1,0,1
-2.20313064,1787,1,1,0,1
-2.20117751,1788,1,1,0,1
-2.19922438,1787,1,1,0,1
-2.19727125,1783,1,1,0,1
-2.19531812,1780,0,0,0,0
-2.19336499,1664,0,1,0,0
-2.19141186,0,0,0,0,0
-2.18945873,1781,1,1,0,1
-2.1875056,1779,1,1,0,1
