value,sample number
2042,0
2061,1
2100,2
2123,3
2109,4
2070,5
2042,6
2044,7
2072,8
2101,9
2096,10
2057,11
2009,12
1988,13
2007,14
2055,15
2092,16
2095,17
2067,18
2030,19
2017,20
2031,21
2055,22
2050,23
2015,24
1971,25
1947,26
1954,27
1985,28
2010,29
1938,30
1974,31
1981,32
1965,33
1941,34
1937,35
1957,36
1991,37
2003,38
1977,39
1946,40
1937,41
1961,42
2009,43
2047,44
2052,45
2026,46
1994,47
1985,48
2001,49
2031,50
2042,51
2011,52
1950,53
1887,54
1864,55
1898,56
1978,57
2071,58
2162,59
2835,60
2724,61
2537,62
2350,63
2174,64
2013,65
1837,66
1613,67
1377,68
1213,69
1163,70
1214,71
1323,72
1418,73
1479,74
1515,75
1553,76
1610,77
1687,78
1755,79
1779,80
1771,81
1758,82
1777,83
1842,84
1949,85
2043,86
2087,87
2084,88
2067,89
2110,90
2084,91
2091,92
2129,93
2168,94
2180,95
2159,96
2125,97
2106,98
2115,99
2138,100
2147,101
2130,102
2095,103
2067,104
2071,105
2114,106
2167,107
2197,108
2195,109
2169,110
2139,111
2131,112
2152,113
2167,114
2157,115
2123,116
2087,117
2083,118
2110,119
2146,120
2161,121
2183,122
2185,123
2156,124
2117,125
2093,126
2107,127
2146,128
2183,129
2196,130
2188,131
2170,132
2178,133
2203,134
2241,135
2261,136
2252,137
2224,138
2199,139
2197,140
2223,141
2259,142
2270,143
2245,144
2205,145
2175,146
2175,147
2203,148
2227,149
2211,150
2237,151
2237,152
2221,153
2209,154
2215,155
2227,156
2232,157
2219,158
2185,159
2141,160
2109,161
2114,162
2143,163
2168,164
2159,165
2121,166
2065,167
2025,168
2018,169
2041,170
2056,171
2042,172
2009,173
1981,174
1977,175
1998,176
2021,177
2015,178
1972,179
1962,180
1939,181
1900,182
1880,183
1887,184
1921,185
1946,186
1942,187
1915,188
1897,189
1911,190
1957,191
2009,192
2031,193
2011,194
1973,195
1951,196
1957,197
1988,198
2022,199
2022,200
1989,201
1941,202
1911,203
1913,204
1951,205
1989,206
1994,207
1975,208
1957,209
1992,210
1953,211
1939,212
1949,213
1971,214
1981,215
1970,216
1958,217
1965,218
1987,219
2014,220
2027,221
2006,222
1961,223
1923,224
1916,225
1941,226
1986,227
2013,228
2006,229
1972,230
1946,231
1949,232
1979,233
2022,234
2035,235
2017,236
1987,237
1975,238
1987,239
1991,240
2012,241
2041,242
2057,243
2045,244
2019,245
2005,246
2006,247
2027,248
2051,249
2043,250
2006,251
1961,252
1934,253
1934,254
1966,255
1994,256
1996,257
1977,258
1954,259
1953,260
1982,261
2029,262
2052,263
2036,264
2007,265
1994,266
2012,267
2057,268
2097,269
2146,270
2157,271
2135,272
2093,273
2043,274
2022,275
2029,276
2047,277
2062,278
2053,279
2034,280
2028,281
2051,282
2095,283
2133,284
2129,285
2091,286
2035,287
2004,288
2003,289
2033,290
2062,291
2063,292
2036,293
2007,294
1995,295
1995,296
2002,297
1988,298
1953,299
1956,300
1929,301
1901,302
1898,303
1927,304
1970,305
1997,306
1988,307
1951,308
1916,309
1913,310
1945,311
1989,312
2010,313
1998,314
1963,315
1931,316
1931,317
1960,318
1979,319
1965,320
1921,321
1873,322
1871,323
1930,324
2044,325
2183,326
2327,327
2470,328
2599,329
2271,330
2052,331
1866,332
1707,333
1541,334
1364,335
1221,336
1142,337
1147,338
1218,339
1335,340
1451,341
1525,342
1554,343
1573,344
1614,345
1679,346
1753,347
1819,348
1874,349
1917,350
1964,351
2017,352
2067,353
2099,354
2097,355
2073,356
2043,357
2031,358
2050,359
2066,360
2101,361
2155,362
2177,363
2154,364
2099,365
2051,366
2034,367
2061,368
2095,369
2105,370
2087,371
2063,372
2055,373
2070,374
2103,375
2128,376
2120,377
2091,378
2067,379
2074,380
2107,381
2146,382
2158,383
2141,384
2115,385
2105,386
2117,387
2141,388
2162,389
2135,390
2182,391
2197,392
2172,393
2141,394
2129,395
2143,396
2167,397
2175,398
2154,399
2115,400
2094,401
2107,402
2153,403
2196,404
2206,405
2180,406
2134,407
2106,408
2110,409
2145,410
2175,411
2169,412
2139,413
2119,414
2123,415
2147,416
2175,417
2187,418
2171,419
2172,420
2147,421
2110,422
2088,423
2101,424
2139,425
2168,426
2167,427
2140,428
2096,429
2069,430
2078,431
2115,432
2137,433
2119,434
2077,435
2037,436
2024,437
2055,438
2110,439
2155,440
2167,441
2155,442
2149,443
2159,444
2181,445
2197,446
2186,447
2143,448
2095,449
2067,450
2022,451
1999,452
2005,453
2015,454
2007,455
1972,456
1927,457
1897,458
1898,459
1933,460
1968,461
1973,462
1954,463
1931,464
1927,465
1954,466
1990,467
2000,468
1964,469
1903,470
1863,471
1862,472
1889,473
1925,474
1926,475
1891,476
1845,477
1826,478
1845,479
1966,480
2010,481
2066,482
2097,483
2092,484
2067,485
2047,486
2051,487
2087,488
2131,489
2149,490
2135,491
2110,492
2099,493
2119,494
2166,495
2206,496
2211,497
2180,498
2134,499
2115,500
2133,501
2171,502
2182,503
2149,504
2094,505
2051,506
2057,507
2105,508
2145,509
2058,510
2091,511
2079,512
2030,513
1977,514
1944,515
1939,516
1949,517
1940,518
1895,519
1839,520
1809,521
1822,522
1865,523
1901,524
