sample,peak,sample number
868,0,0
913,0,1
976,0,2
1048,0,3
1119,0,4
1182,0,5
1233,0,6
1273,0,7
1305,0,8
1334,0,9
1365,0,10
1401,0,11
1443,0,12
1491,0,13
1541,0,14
1590,0,15
1634,0,16
1669,0,17
1695,0,18
1710,0,19
1716,0,20
1716,0,21
1711,0,22
1704,0,23
1699,0,24
1694,0,25
1692,0,26
1692,0,27
1693,0,28
1695,0,29
1696,0,30
1697,0,31
1698,0,32
1698,0,33
1697,0,34
1696,0,35
1695,0,36
1695,0,37
1694,0,38
1694,0,39
1695,0,40
1695,0,41
1696,0,42
1698,0,43
1699,0,44
1699,0,45
1700,0,46
1701,0,47
1702,0,48
1703,0,49
1705,0,50
1707,0,51
1709,0,52
1710,0,53
1711,0,54
1711,0,55
1710,0,56
1710,0,57
1709,0,58
1709,0,59
1710,0,60
1711,0,61
1713,0,62
1714,0,63
1716,0,64
1717,0,65
1717,0,66
1717,0,67
1716,0,68
1716,0,69
1715,0,70
1715,0,71
1716,0,72
1718,0,73
1720,0,74
1723,0,75
1725,0,76
1728,0,77
1729,0,78
1731,0,79
1732,0,80
1733,0,81
1735,0,82
1737,0,83
1739,0,84
1741,0,85
1743,0,86
1744,0,87
1746,0,88
1747,0,89
1749,0,90
1750,0,91
1752,0,92
1754,0,93
1756,0,94
1758,0,95
1760,0,96
1761,0,97
1762,0,98
1764,0,99
1765,0,100
1767,0,101
1769,0,102
1770,0,103
1771,0,104
1771,0,105
1771,0,106
1770,0,107
1769,0,108
1766,0,109
1763,0,110
1759,0,111
1755,0,112
1751,0,113
1747,0,114
1744,0,115
1740,0,116
1737,0,117
1733,0,118
1729,0,119
1724,0,120
1720,0,121
1715,0,122
1711,0,123
1708,0,124
1705,0,125
1701,0,126
1695,0,127
1688,0,128
1680,0,129
1669,0,130
1657,0,131
1644,0,132
1632,0,133
1619,0,134
1608,0,135
1597,0,136
1588,0,137
1579,0,138
1572,0,139
1566,0,140
1561,0,141
1556,0,142
1550,0,143
1544,0,144
1537,0,145
