FIR_BP_sample,Moving_Averaged_sample,Deriv_sample,peak,sample_number
1726,1589,-77,0,0
1769,1588,-99,0,1
1796,1588,-120,0,2
1806,1589,-139,0,3
1803,1593,-156,0,4
1791,1597,-169,0,5
1773,1602,-179,0,6
1754,1606,-186,0,7
1737,1608,-190,0,8
1725,1606,-193,0,9
1718,1598,-196,0,10
1716,1582,-199,0,11
1717,1558,-203,0,12
1720,1525,-210,0,13
1723,1485,-220,0,14
1725,1437,-234,0,15
1726,1384,-251,0,16
1726,1328,-272,0,17
1725,1273,-295,0,18
1724,1220,-321,0,19
1724,1173,-348,0,20
1724,1133,-376,0,21
1726,1102,-404,0,22
1729,1081,-430,0,23
1732,1068,-455,0,24
1735,1062,-477,0,25
1737,1060,-497,0,26
1737,1060,-515,0,27
1736,1059,-529,0,28
1733,1055,-541,0,29
1730,1044,-549,0,30
1727,1026,-554,0,31
1724,998,-555,0,32
1722,959,-553,0,33
1722,911,-546,0,34
1723,855,-536,0,35
1726,792,-522,0,36
1730,724,-505,0,37
1735,653,-485,0,38
1741,582,-464,0,39
1746,514,-442,0,40
1750,451,-421,0,41
1753,396,-401,0,42
1754,347,-384,0,43
1753,307,-370,0,44
1750,275,-359,0,45
1746,251,-352,0,46
1741,234,-349,0,47
1736,224,-348,0,48
1732,219,-350,0,49
1730,217,-352,0,50
1730,217,-353,0,51
1732,219,-353,0,52
1736,222,-350,0,53
1742,224,-344,0,54
1748,225,-335,0,55
1754,225,-321,0,56
1758,224,-304,0,57
1761,222,-283,0,58
1762,218,-260,0,59
1762,215,-234,0,60
1761,210,-208,0,61
1760,206,-181,0,62
1761,202,-155,0,63
1763,197,-132,0,64
1766,192,-111,0,65
1772,187,-93,0,66
1779,182,-78,0,67
1787,178,-67,0,68
1794,174,-58,0,69
1801,170,-53,0,70
1807,166,-50,0,71
1811,162,-49,0,72
1813,157,-49,0,73
1813,153,-49,0,74
1811,148,-51,0,75
1808,144,-52,0,76
1805,140,-53,0,77
1802,135,-53,0,78
1800,131,-53,0,79
1799,127,-52,0,80
1800,123,-51,0,81
1802,119,-49,0,82
1804,115,-47,0,83
1807,112,-45,0,84
1810,109,-43,0,85
1812,106,-41,0,86
1812,103,-39,0,87
1812,100,-37,0,88
1811,98,-35,0,89
1810,96,-34,0,90
1810,95,-32,0,91
1810,93,-31,0,92
1811,93,-30,0,93
1812,93,-29,0,94
1814,94,-28,0,95
1815,94,-26,0,96
1815,95,-25,0,97
1812,96,-24,0,98
1807,97,-23,0,99
1800,98,-22,0,100
1791,99,-21,0,101
1782,100,-20,0,102
1774,100,-19,0,103
1766,100,-18,0,104
1760,100,-17,0,105
1756,100,-16,0,106
1752,99,-16,0,107
1747,98,-16,0,108
1742,97,-15,0,109
1736,96,-15,0,110
1727,95,-15,0,111
1717,94,-15,0,112
1705,92,-15,0,113
1692,91,-15,0,114
1679,89,-15,0,115
1665,87,-16,0,116
1652,86,-17,0,117
1638,84,-18,0,118
1625,82,-19,0,119
1611,80,-20,0,120
1599,78,-21,0,121
1587,77,-22,0,122
1575,75,-23,0,123
1565,73,-23,0,124
1556,71,-24,0,125
1547,69,-24,0,126
1540,66,-24,0,127
1533,64,-24,0,128
1528,62,-24,0,129
1522,60,-23,0,130
1517,58,-23,0,131
1511,56,-22,0,132
1507,53,-22,0,133
1502,51,-21,0,134
